Port,Direction,Pin Location,Bank,Standard,Pull-up,Drive [mA],Slew Rate,Terminaison,Comment
clk,in,Y2,B2,3.3-V LVTTL,NA,NA,NA,NA,
rst_n,in,M23,B7,2.5 V,NA,NA,NA,NA,JP7 configured in 2.5 V on PR115 board
o_seg0[0],out,G18,B7,2.5 V,NA,4mA,2,,
o_seg0[1],out,F22,B7,2.5 V,NA,4mA,2,,
o_seg0[2],out,E17,B7,2.5 V,NA,4mA,2,,
o_seg0[3],out,L26,B6,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg0[4],out,L25,B6,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg0[5],out,J22,B6,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg0[6],out,H22,B6,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg1[0],out,M24,B6,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg1[1],out,Y22,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg1[2],out,W21,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg1[3],out,W22,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg1[4],out,W25,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg1[5],out,U23,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg1[6],out,U24,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg2[0],out,AA25,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg2[1],out,AA26,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
o_seg2[2],out,Y25,B5,2.5 V,NA,4mA,2,,JP7 configured in 2.5 V on PR115 board
